"","V1","V2"
"1","","1"
"2","â","69"
"3","abhor","1"
"4","abolish","2"
"5","abolition","2"
"6","accept","1"
"7","accepted","2"
"8","acclaimed","1"
"9","accompanied","4"
"10","accomplish","1"
"11","accorded","1"
"12","according","3"
"13","accordingly","1"
"14","achari","1"
"15","achariar","1"
"16","achariyar","2"
"17","achievements","1"
"18","act","4"
"19","active","1"
"20","actively","1"
"21","activities","1"
"22","actually","1"
"23","acute","1"
"24","adamantly","1"
"25","added","2"
"26","address","3"
"27","addressed","4"
"28","addressing","1"
"29","adhi","1"
"30","adigal","1"
"31","adigalar","2"
"32","admiration","1"
"33","admirers","1"
"34","admit","1"
"35","admitted","1"
"36","adopted","1"
"37","advice","1"
"38","advised","1"
"39","advocated","1"
"40","affectionately","1"
"41","affirmation","1"
"42","age","5"
"43","aged","2"
"44","agitation","15"
"45","agitational","1"
"46","agitators","1"
"47","agony","2"
"48","agriculturists","1"
"49","ahead","1"
"50","ali","1"
"51","alias","1"
"52","allowed","2"
"53","alms","1"
"54","along","1"
"55","alphabets","1"
"56","also","17"
"57","alternative","1"
"58","although","2"
"59","always","1"
"60","ambedkar","3"
"61","amended","1"
"62","amendment","2"
"63","ammai","2"
"64","ammaiyaar","1"
"65","among","1"
"66","ancient","1"
"67","andhra","3"
"68","anna","5"
"69","annaâ","2"
"70","annadurai","6"
"71","annihilate","1"
"72","announced","8"
"73","annually","1"
"74","another","3"
"75","answers","1"
"76","anti","2"
"77","apart","1"
"78","appearance","1"
"79","appreciated","1"
"80","approach","1"
"81","april","1"
"82","arasuâ","4"
"83","arch","1"
"84","archakas","2"
"85","ardent","2"
"86","ardently","1"
"87","areas","1"
"88","argued","1"
"89","arguments","1"
"90","around","2"
"91","arranged","5"
"92","arrangement","1"
"93","arrest","2"
"94","arrested","9"
"95","arthur","1"
"96","article","2"
"97","articles","1"
"98","aryan","3"
"99","aryans","4"
"100","asia","1"
"101","asking","1"
"102","aspect","1"
"103","assasination","1"
"104","assassin","1"
"105","assembled","2"
"106","assembly","5"
"107","association","2"
"108","associations","1"
"109","assuming","1"
"110","atheism","2"
"111","attached","1"
"112","attack","1"
"113","attacked","1"
"114","attain","1"
"115","attained","1"
"116","attainment","1"
"117","attended","2"
"118","attracted","2"
"119","aug","4"
"120","author","2"
"121","awakening","2"
"122","award","1"
"123","awarded","2"
"124","awards","1"
"125","away","4"
"126","awoke","1"
"127","ayothidhaasar","1"
"128","babyâ","1"
"129","back","1"
"130","backward","2"
"131","bangalore","1"
"132","baniyas","1"
"133","bank","2"
"134","banned","2"
"135","bare","1"
"136","baseless","1"
"137","basis","1"
"138","bazaar","1"
"139","beacon","1"
"140","bearers","1"
"141","became","6"
"142","become","4"
"143","becoming","1"
"144","befriended","1"
"145","began","4"
"146","begging","1"
"147","behaved","1"
"148","bellary","2"
"149","belonging","1"
"150","beloved","1"
"151","berlin","1"
"152","besides","3"
"153","betrayed","1"
"154","better","1"
"155","bhave","1"
"156","bi","1"
"157","bidding","1"
"158","big","3"
"159","bill","2"
"160","billions","1"
"161","biographical","1"
"162","birth","3"
"163","birthday","1"
"164","black","2"
"165","blackshirts","2"
"166","blackshirtsâ","1"
"167","blossomed","1"
"168","blossoming","1"
"169","board","4"
"170","boards","4"
"171","bodies","2"
"172","body","3"
"173","boldly","1"
"174","bombay","2"
"175","book","4"
"176","books","1"
"177","born","1"
"178","bosom","1"
"179","boy","1"
"180","boycott","1"
"181","brahmin","19"
"182","brahminâ","2"
"183","brahminical","1"
"184","brahmins","36"
"185","brahmnocracyâ","1"
"186","brain","1"
"187","branch","1"
"188","bravely","1"
"189","breathed","1"
"190","bride","1"
"191","bridegroom","1"
"192","brink","1"
"193","britain","2"
"194","british","9"
"195","broke","2"
"196","brother","1"
"197","brought","4"
"198","buddhism","4"
"199","buddhist","2"
"200","building","1"
"201","built","2"
"202","bullets","1"
"203","burial","2"
"204","burma","1"
"205","burn","2"
"206","burning","2"
"207","burnt","3"
"208","business","2"
"209","businessman","1"
"210","businessmen","1"
"211","call","2"
"212","called","8"
"213","calling","1"
"214","came","6"
"215","campaign","1"
"216","can","1"
"217","cancelled","1"
"218","capital","4"
"219","capitalist","1"
"220","capitalists","1"
"221","captivated","1"
"222","captured","1"
"223","career","1"
"224","carried","1"
"225","carries","1"
"226","carved","1"
"227","case","4"
"228","cases","1"
"229","caste","21"
"230","casteism","4"
"231","castes","5"
"232","cautioned","1"
"233","ceiling","1"
"234","celebrations","2"
"235","centenary","1"
"236","central","4"
"237","centre","1"
"238","centreâ","1"
"239","ceylon","1"
"240","chairman","3"
"241","chairmanship","4"
"242","chakra","1"
"243","champion","1"
"244","changed","1"
"245","charge","2"
"246","charged","1"
"247","cheating","1"
"248","chengalpattu","1"
"249","chennai","12"
"250","cheranmaadhevi","1"
"251","chest","1"
"252","chief","15"
"253","child","2"
"254","children","2"
"255","chinna","1"
"256","chitrarasu","1"
"257","choultries","1"
"258","choultry","5"
"259","christian","2"
"260","circular","1"
"261","citation","1"
"262","city","1"
"263","clarion","2"
"264","class","1"
"265","classes","1"
"266","clause","1"
"267","close","1"
"268","closed","1"
"269","cloth","2"
"270","clothes","1"
"271","co","1"
"272","coconut","1"
"273","coined","1"
"274","coins","1"
"275","collected","1"
"276","collector","2"
"277","college","1"
"278","colombo","1"
"279","come","2"
"280","comeâ","1"
"281","command","3"
"282","commanded","1"
"283","commemorate","1"
"284","commercial","1"
"285","commitment","1"
"286","committee","7"
"287","communal","7"
"288","communism","1"
"289","communities","1"
"290","community","2"
"291","compaign","1"
"292","compelling","1"
"293","compete","1"
"294","compiled","1"
"295","completely","1"
"296","completing","1"
"297","composite","1"
"298","compulsory","4"
"299","comrade","1"
"300","conceived","1"
"301","concentrate","1"
"302","concern","3"
"303","condemn","3"
"304","condemnation","2"
"305","condemned","2"
"306","conditions","1"
"307","conduct","1"
"308","conducted","5"
"309","conducting","1"
"310","conferanceâ","1"
"311","conference","31"
"312","conferenceâ","1"
"313","conferences","3"
"314","conferred","3"
"315","confirmed","1"
"316","congress","25"
"317","connection","1"
"318","consequently","2"
"319","constitution","6"
"320","contagion","1"
"321","contagious","1"
"322","contempt","1"
"323","contest","1"
"324","continued","1"
"325","contradictions","1"
"326","control","1"
"327","convened","6"
"328","conversed","1"
"329","conversion","3"
"330","convict","1"
"331","convicted","1"
"332","convince","1"
"333","corps","1"
