word,freq
aâ,1
acad,1
access,1
according,1
action,1
active,1
activity,6
actually,4
adaptation,1
added,2
adding,1
addition,1
adenocarcinoma,1
adequate,1
adipose,1
adolescent,1
adolescents,1
adult,3
adults,3
adv,2
affect,2
affected,1
affecting,1
age,7
ageing,1
ages,1
aging,2
aiming,1
aj,1
albany,1
alcohol,3
alcoholic,1
also,9
alzheimer,2
american,2
americans,1
amount,3
amounts,4
amyloid,1
anabolic,1
analysis,1
animal,1
ann,2
anorexia,1
another,1
anxiety,1
apnea,1
appetite,1
appropriate,1
aquilano,1
area,1
around,1
arrest,1
arrhythmias,1
article,11
articles,1
associated,2
asthma,1
atmospheric,1
attribution,1
auestad,1
aug,1
author,2
average,2
avocados,1
balance,2
barbato,1
basically,1
become,1
becomingâ,1
belief,1
bemis,1
benefits,1
beta,1
better,1
big,1
bigâ,1
biomarkers,1
birth,1
bj,1
blood,3
bloodstream,1
bodies,2
body,22
bodyâ,1
bone,1
bones,2
book,1
bookshelf,1
brain,3
brains,1
breast,1
breathing,1
broken,1
bronchodilators,1
brychta,1
bulimia,1
bullied,1
burn,1
buy,1
bv,1
cal,2
calcium,2
calculated,1
calculating,1
calculation,1
called,1
caloric,17
caloricâ,1
calorie,13
calories,31
camacho,1
can,16
cancer,4
cancers,4
carbohydrate,1
carbohydrates,6
cardiac,1
care,2
carry,1
carrying,1
cause,2
caused,1
causes,3
cell,2
cells,2
cellular,1
celsius,1
center,1
centersupport,1
certain,3
certainly,1
chance,1
changes,1
chen,1
cheng,1
children,7
childrenâ,1
choice,1
choose,1
choosing,1
chronically,1
cite,1
city,1
class,1
classified,1
clearturn,1
click,1
clinical,3
clinically,1
clinicians,1
cm,1
cognition,1
cognitive,1
colon,1
commonly,1
commons,2
compared,1
comparing,1
concentration,1
concept,2
concern,3
consideredâ,1
consists,2
consume,1
consumption,2
contain,1
containing,1
contains,2
content,2
continue,1
continues,3
contribution,1
contributors,1
copyrightâ,1
cortisol,2
counting,1
courville,1
crayner,1
creates,1
creative,2
creativecommons,1
credit,1
cui,1
culprits,1
cycle,3
cytokines,1
daily,2
damage,1
dangerous,1
data,1
day,6
debilitating,1
decades,1
decline,1
decrease,1
decreased,1
decreases,2
decreasing,1
deficient,1
degree,1
dejager,1
depending,1
deposition,1
depression,3
desired,1
desires,1
determine,1
detrimental,1
development,1
diabetes,2
diet,7
dietary,4
dieting,1
diets,1
differ,1
different,3
differing,1
disadvantages,1
disease,6
diseases,1
disorders,1
distributed,1
distribution,1
dr,1
duplication,1
eat,7
eating,4
effect,3
effects,2
either,1
ej,1
electrolyte,1
electrolytes,1
empty,1
encourage,1
endometrial,1
energized,1
energy,8
enough,3
environment,1
environments,1
epidemic,5
equal,2
equate,1
equivalent,2
esophageal,1
esophagogastric,1
especially,5
essential,1
essentially,1
esteem,2
estimate,1
estimation,1
eva,1
even,3
every,3
evidence,1
exact,1
exactly,1
examination,1
example,5
excess,2
excessive,1
excessively,1
exerc,1
exercise,3
exercising,1
exists,1
extend,1
extra,1
extreme,1
facebook,1
fact,4
factors,3
fail,1
FALSE,1
fast,2
fat,14
fats,7
fatty,1
feb,1
feedback,1
fertility,1
fewer,2
fiber,1
filled,3
focus,1
fontana,2
food,5
foods,7
format,1
free,12
friends,1
fruits,2
fuel,1
fulgoni,1
function,5
functions,1
gain,7
gallbladder,1
gallstones,1
gender,1
genes,1
get,1
getting,1
giovannetti,1
give,1
glob,1
glucose,1
go,7
good,1
goodwin,1
google,1
gout,1
grains,1
gram,4
great,3
greater,1
greatly,1
groups,1
grow,3
growing,2
growth,1
guidelines,1
guo,1
habits,1
hale,1
hall,1
hallmark,1
harmful,2
health,11
healthier,1
healthy,5
heart,4
height,2
helpful,1
high,4
higher,1
histological,1
hold,1
hormones,1
